Questions,Answers,Context Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the purpose of the Extended Repetition-Period IE?,The Extended Repetition-Period IE is applicable for E-UTRAN only. It indicates the periodicity in seconds of the warning message to be broadcast when the Repetition Period has a value larger than 4095. It is an integer between 4096 and (217-1); see 3GPP TS 36.413 [36].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When is the Unknown Tracking Area List IE included, and what information does it provide?","The Unknown Tracking Area List IE is included for E-UTRAN and NG-RAN only. It identifies the Tracking Areas that are unknown to the MME/AMF, and where the Request cannot be delivered. It is of type List of TAI (see clause 9.3.29).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What does the Send Stop Warning Indication IE indicate for E-UTRAN and NG-RAN?,"For E-UTRAN, the Send Stop Warning Indication IE is an indication for the MME to send the STOP-WARNING-INDICATION to the CBC for the warning message. For NG-RAN, it is an indication for the AMF to send the STOP-WARNING-INDICATION-NG-RAN to the CBCF for the warning message. These elements are enumerated types; see 3GPP TS 29.168 [35] for E-UTRAN and 3GPP TS 29.518 [41] for NG-RAN.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What does the Global RAN Node ID IE serve for NG-RAN?,"The Global RAN Node ID IE is used to globally identify a NG-RAN node (i.e., a Global gNB ID or a Global ng-eNB ID). See 3GPP TS 38.413 [40].",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In which networks is the Test Flag IE applicable, and what does it indicate?","The Test Flag IE is applicable for NG-RAN only. It may be included to indicate to the NG-RAN node that the request is to be processed and responded to normally, but shall not result in broadcast over the air and shall not allocate any resources (i.e., the request cannot be canceled).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 What types of CBS messages are transmitted by the RNS to the UE in UMTS?,The CBS messages transmitted by the RNS to the UE in UMTS include CBS Message (user information) and Schedule Message (schedule of CBS messages).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How is the CBS message transmitted over the radio interface in UMTS?,"In UMTS, the CBS message is transmitted as one unit over the radio interface, and the logical channel CTCH is used on layer two of the UMTS radio interface.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What does the Message Type parameter indicate in UMTS CBS messages?,"The Message Type parameter in UMTS CBS messages indicates the type of the message, specifying whether it is a CBS message or a Schedule Message.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How does the UE determine which CBS messages to receive based on the Message ID in UMTS?,"The UE attempts to receive CBS messages based on the Message IDs stored in the EFCBMI, EFCBMID, and EFCBMIR files on the USIM. The ""search list"" prioritizes IDs stored in the USIM over those stored in the UE.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the role of the Data Coding Scheme parameter in UMTS CBS messages?,"The Data Coding Scheme parameter in UMTS CBS messages identifies the alphabet/coding and the language applied to a CBS Message, following the specifications in 3GPP TS 23.038 [3].",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How is language selection handled in UMTS CBS messages when the USIM indicates language preferences?,"When the USIM indicates language preferences, the UE defaults to using the language(s) stored in the USIM (in the EFPL file) for language filter mechanisms. Optionally, users can select languages through MMI for displaying specific CBS messages.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What does the Warning Area Coordinates parameter contain in E-UTRAN warning messages?,The Warning Area Coordinates parameter in E-UTRAN warning messages contains the coordinates of the warning area and is part of the Warning Area Coordinates IE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How is the Warning Type identified in ETWS Primary Notification messages for E-UTRAN?," The Warning Type in ETWS Primary Notification messages for E-UTRAN is identified in the parameter specified in clause 9.4.3.3.5, and it is identical to the Warning Type described in clause 9.3.24.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In E-UTRAN, how is the content of the warning message encoded in the CB Data parameter?","In E-UTRAN, the content of the warning message is encoded in the CB Data parameter, which contains the Warning Message Content E-UTRAN IE, as specified in clause 9.3.35.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Is the Dummy parameter used in the ETWS Primary Notification message for E-UTRAN?,"No, the Dummy parameter in the ETWS Primary Notification message for E-UTRAN is not used in the specification, and the UE should ignore this parameter.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 What is the purpose of CBS compression in cell broadcast messages?,"The purpose of CBS compression is to reduce the size of cell broadcast messages between the CBC and MS/UE, excluding padding octets.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When does compression apply in the context of CBS messages?,"Compression applies to user information sent between the CBC and MS/UE, excluding padding octets. It may apply to a single 'CBS-Message-Information-Page' or across multiple pages.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 How is padding defined in the case of CBS compression?,"Padding in CBS compression is defined as an integral number of octets, where each padding octet has a value FF hexadecimal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 What is the purpose of the compression footer in CBS compression?,The compression footer in CBS compression delimits the compressed user information bit stream at an octet boundary and indicates whether there are any compressed data bits contained within the compression footer octet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Describe the process of decoding CBS messages at the MS/UE.,"The MS/UE decodes CBS messages by locating the compression footer octet, skipping backward over padding if present, and identifying the compression footer. The compression footer indicates the presence and number of compressed data bits.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What services does the Namf_Communication service offer in the 5G System?,"The Namf_Communication service offers services such as NonUeN2MessageTransfer, NonUeN2InfoSubscribe, NonUeN2InfoUnSubscribe, and NonUeN2InfoNotify to the CBCF and PWS-IWF.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Explain the purpose of the Namf_Communication_NonUeN2MessageTransfer service operation.,The purpose of the NonUeN2MessageTransfer service operation is to initiate or stop broadcast in one or more cells as indicated in the Warning Area Information Element.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How does the AMF respond to a NonUeN2MessageTransfer request for PWS services?,The AMF accepts the request and responds to the NF Service Consumer immediately. It transfers PWS Write-Replace-Warning or Stop-Warning Request messages via the NonUeN2MessageTransfer operation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What does the Namf_Communication_NonUeN2InfoSubscribe service operation do?,"The NonUeN2InfoSubscribe operation is invoked by the NF Service Consumer to subscribe to non-UE specific PWS information from the NG-RAN node, such as Warning Indications and Restart Failure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the context of CBS Index, what is the purpose of the index structure?","The index structure is used by the operator to inform the end user about the types of CBS services available. It has a tree-like structure with subindexes, and each index message has a unique message identifier.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What action should the PWS-IWF take upon receiving a Write-Replace-Warning Request message containing the Extended Repetition-Period IE from the CBC?,The PWS-IWF should map the Extended Repetition-Period IE onto the Repetition-Period NG-RAN IE in the Write-Replace-Warning Request message towards the AMF. It should also ignore the Repetition-Period IE received from the CBC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the reference document for NG Application Protocol (NGAP)?,The NG Application Protocol (NGAP) is defined in 3GPP TS 38.413 [40].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In Figure B.7-1, what does the NG-AP-CB legend represent?","The NG-AP-CB legend represents NG Application Protocol information for Cell Broadcast, which is a subset of NG-AP information relayed between the NG-RAN and the PWS-IWF.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which clause of the document provides information on AMF functionality?,Clause 6 of the present document provides information on AMF functionality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the purpose of the SCTP protocol in the context of AMF and NG-RAN interconnection?, The SCTP protocol guarantees the delivery of signaling messages between AMF and NG-RAN (N2) in the control plane.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What does Annex C (informative) in the document contain?," Annex C contains the change history of the document, including information such as the TSG, TDoc, CR, Release, version changes, and subject details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 What is the subject of change T#14 in the change history?,"The subject of change T#14 is ""Clarification on the use of Message IDs in multi-technology networks.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the latest version corresponding to the change T#98e in the change history?,The latest version corresponding to the change T#98e in the change history is 18.1.0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the change history, what does the category 'F' represent?","In the change history, the category 'F' represents a functional change.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the correction made in change CP-220236 according to the change history?,"Change CP-220236 involves a correction in UE configuration for warning message reception in SNPNs, and it is categorized as a functional change.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What does the present document provide an overview of?,The present document gives an overview of the tasks undertaken by the Core network protocols of a Mobile Station (MS) when in idle mode.,"The document provides an overview of the tasks performed by the Core network protocols of a Mobile Station (MS) in idle mode, where the MS is switched on but not allocated a dedicated channel. It covers functions performed by a GPRS MS under similar conditions. The document specifies different operational modes (Iu, N1, NB-N1, WB-N1, S1, NB-S1, WB-S1) and provides definitions for terms such as Localised Service Area, Location Registration, MINT, MS, N1 mode capability, NB-IoT, Shared Network, Steering of Roaming, and various other network-related terms and procedures. Additionally, it outlines procedures for PLMN selection in a multi-mode MS supporting both 3GPP and 3GPP2 systems, using CSG and CAG cells, as well as specifying SNPN selection. The document details the implementation of idle mode operation requirements from the 22 series Technical Specifications, with specific clauses describing the general idle mode process, requirements, technical solutions, and processes. It references various 3GPP and GSM specifications, outlining conditions for idle mode functions in different network states, and includes information about steering of roaming in 5GS and procedures for control plane solutions. Notably, the document excludes consideration of GERAN Iu mode and provides a list of references for further details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In which mode are the idle mode functions performed by a GPRS MS?,The idle mode functions are performed by a GPRS MS as long as no dedicated channel is allocated to the MS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Where are the conditions specified for the idle mode functions in UTRA RRC connected mode states?,The conditions for the idle mode functions in UTRA RRC connected mode states are specified in 3GPP TS 25.331 [33].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the significance of Annex C in the present document?,"Annex C describes the procedures for control plane solution of steering of roaming in 5GS and is applicable to the MS, the AMF, the UDM, and the SOR-AF in the 5GS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which document defines the PLMN selection for a multi-mode MS supporting both 3GPP and 3GPP2 systems?,The present document defines the PLMN selection for a multi-mode MS that supports both 3GPP and 3GPP2 systems.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the context of PLMN selection, what is an Allowable PLMN/access technology combination?","For an MS operating in MS operation mode A or B, it is a PLMN/access technology combination where the PLMN is allowable, and the specific access technology supports non-GPRS services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What does the term ""Camped on a cell"" mean?",Camped on a cell refers to the state where the MS (or ME if there is no SIM) has completed the cell selection/reselection process and has chosen a cell from which it plans to receive all available services.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What is the definition of ""Discontinuous coverage"" in the context of satellite E-UTRAN access?",Discontinuous coverage is a deployment option for satellite E-UTRAN access where shorter periods of satellite E-UTRAN access radio coverage are followed by longer periods of coverage gaps.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" What does EHPLMN stand for, and how is it related to PLMN selection?", EHPLMN stands for Equivalent HPLMN. The Equivalent HPLMN list replaces the HPLMN code derived from the IMSI for PLMN selection purposes and is stored on the USIM.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How is the term ""High quality signal"" defined in the PLMN selection procedure?","The high quality signal limit is used in the PLMN selection procedure and is defined in the appropriate AS specification for different radio access technologies, such as 3GPP TS 43.022 [35] for GSM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What is the meaning of ""In Iu mode""?","In Iu mode indicates that a clause applies only to UMTS. For a multi-system case, how is this determination made?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In which mode does the clause apply if it mentions ""In N1 mode""?","The clause applies only to 5GS when it mentions ""In N1 mode."" How is this determined for a multi-system case?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What does ""NB-N1 mode"" signify in a system's operation?",NB-N1 mode indicates that a paragraph applies only if the current serving radio access network provides access to 5G network services via E-UTRA connected to 5GCN by NB-IoT. Explain the conditions for a multi-access system.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" When does a system operate in ""WB-N1 mode""?","A system operates in ""WB-N1 mode"" if it operates in N1 mode with E-UTRA connected to 5GCN but not in NB-N1 mode. Explain the conditions for a multi-access system in this case.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What does ""Limited Service State"" refer to?",Limited Service State is defined in clause 3.5. Provide details about the definition and context in which it is used.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Define ""Localised Service Area (LSA).""",Localised Service Area (LSA) consists of a cell or a number of cells. What criteria must the cells constituting an LSA satisfy?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What is the significance of ""Location Registration (LR)"" for an MS attached to non-GPRS services?",An MS attached to non-GPRS services performs location registration by the location updating procedure. Explain the conditions under which this occurs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What does ""MINT"" stand for, and where is it defined?",MINT stands for Minimization of Service Interruption. Where is the definition and detailed information about MINT provided?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Explain the term ""N1 mode capability.""",N1 mode capability refers to the capability of the UE associated with an N1 NAS signalling connection. Where is this capability applicable according to the present document?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Provide a definition for ""NarrowBand Internet of Things (NB-IoT).""",NarrowBand Internet of Things (NB-IoT) is a non-backward compatible variant of E-UTRAN. Explain its functionality and limitations as per the document.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the purpose of camping on a cell in idle mode?,"The purpose of camping on a cell in idle mode is fourfold: a) To enable the MS to receive system information from the PLMN or SNPN.b) To allow the MS to initiate a call by accessing the network on the control channel of the camped cell.c) To facilitate the paging of the MS when a call is received, utilizing the registration area information.d) To enable the MS to receive cell broadcast messages.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What are the tasks involved in idle mode, and how are they subdivided?","Idle mode tasks are subdivided into the following processes:
PLMN selection
SNPN selection (N1 mode only)
CSG selection (Iu mode and S1 mode only)
Cell selection and reselection
Location registration
CTS fixed part selection (A/Gb mode only)
CAG selection (N1 mode only)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" What are the two modes of PLMN selection, and how do they operate?","The two modes of PLMN selection are: i) Automatic mode: It utilizes a priority-ordered list of PLMN/access technology combinations, selecting the highest priority available and allowable combination.  ii) Manual mode: The MS indicates available PLMNs to the user, and service is obtained on the selected VPLMN only when a manual selection is made.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How does the MS handle forbidden areas for roaming in PLMN selection?,"If an area is forbidden, the MS adds it to a list of ""forbidden location areas for roaming."" This list is deleted when the MS is switched off or the SIM is removed, and periodically (with a period of 12 to 24 hours).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What actions does the MS take upon receiving a reject message with cause value #15 in A/Gb mode or Iu mode?,"Depending on the mode:In A/Gb mode or Iu mode, the MS adds the location area to the ""forbidden location areas for roaming"" list and searches for a suitable cell in the same PLMN but belonging to a different LA or TA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How does the MS handle PLMNs not allowed to operate at the present UE location in automatic PLMN selection mode?,"In automatic PLMN selection mode, if the MS detects a forbidden PLMN in satellite NG-RAN or satellite E-UTRAN access technology, it considers the PLMN as a selection candidate only if the current MS location is known, and the distance to the current MS location is larger than an MS implementation-specific value.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What are the modes of CSG selection, and how do they operate?","There are two modes of CSG selection:Automatic mode: The MS camps on a cell if it is not a CSG cell or if it is a CSG cell with a CSG identity in the Allowed CSG list or Operator CSG List.Manual mode: The MS indicates available CSGs to the user, and based on configuration, the list may or may not be restricted by the Allowed CSG list and the Operator CSG List.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How is the permitted CSG list formed, and what does it consist of?",The permitted CSG list is a combination of the Operator CSG list and the Allowed CSG list. It consists of CSG IDs and associated PLMN identities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What actions does the MS take upon receiving an integrity protected message with cause value #25 for a CSG ID in the Operator CSG list?,"The MS does not include this CSG ID and associated PLMN identity in the permitted CSG list provided to the AS for an implementation-dependent time, or until the MS is switched off, the SIM/USIM is removed, or the Operator CSG list is updated. In manual mode, the MS does not indicate this CSG ID to the user during this period.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How does the MS handle CSG selection if the MS supports CSG in automatic mode?,"In automatic mode, the MS camps on a cell in the selected PLMN only if the cell is either not a CSG cell or is a CSG cell with a CSG identity in the Allowed CSG list or Operator CSG list.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
